STATION,GPS,HEIGHT (m),HEIGHT UNCERTAINTY (m),RATE (mm/yr),RATE UNCERTAINTY (mm/yr),EPOCH,SOLUTION,START DATE,END DATE,DISTANCE
454,SMTG,41.705,0.008,-1.19,0.19,2020.0000,ULR7a,2010-02-16,2023-03-23,52
457,STNA,41.143,0.007,-0.73,0.54,2020.0000,NGL14,2013-10-03,2021-12-12,242
457,STNA,41.146,0.008,-0.62,0.25,2020.0000,ULR7a,2013-10-03,2021-12-12,242
466,LROC,40.358,0.006,-0.44,0.18,2020.0000,ULR7a,2001-11-23,2023-03-23,122
466,LROC,40.352,0.003,-0.38,0.14,2020.0000,JPL14,2001-11-23,2023-03-23,122
466,LROC,40.366,0.006,-0.07,0.30,2020.0000,GT3,2001-11-23,2023-03-23,122
466,LROC,40.342,0.004,-0.47,0.41,2020.0000,NGL14,2001-11-23,2023-03-23,122
468,DUNQ,40.867,0.008,-0.63,0.48,2020.0000,ULR7a,2015-01-27,2023-03-23,4
468,DUNQ,40.850,0.004,-0.44,0.98,2020.0000,NGL14,2015-01-27,2023-03-23,4
469,SCOA,42.091,0.004,-1.16,0.53,2020.0000,NGL14,2005-12-12,2023-03-23,0
469,SCOA,42.097,0.004,-2.06,0.30,2020.0000,GT3,2005-12-12,2023-03-23,0
469,SCOA,42.097,0.008,-1.53,0.23,2020.0000,ULR7a,2005-12-12,2023-03-23,0
469,SCOA,42.093,0.003,-0.87,0.30,2020.0000,JPL14,2005-12-12,2023-03-23,0
476,DAKR,23.827,0.006,-1.10,0.68,2020.0000,NGL14,2011-08-12,2021-01-20,9805
476,DAKA,23.872,0.004,,,2007.4305,NGL14,2002-03-21,2007-06-08,5923
476,DAKA,23.874,0.004,,,2007.4315,GT3,2002-03-21,2007-06-08,5923
476,DAKR,23.825,0.009,-0.60,0.43,2020.0000,ULR7a,2011-08-12,2021-01-20,9805
476,DAKR,23.828,0.005,-0.49,0.42,2020.0000,JPL14,2011-08-12,2021-01-20,9805
476,DAKA,23.861,0.010,,,2020.0000,JPL14,2002-03-21,2007-06-08,5923
484,ACOR,47.501,0.007,-2.05,0.22,2020.0000,ULR7a,1998-12-11,2023-03-22,479
484,ACOR,47.496,0.005,-2.48,0.37,2020.0000,NGL14,1998-12-11,2023-03-22,479
484,ACOR,47.498,0.006,-1.56,0.30,2020.0000,GT3,1998-12-11,2023-03-22,479
484,ACOR,47.499,0.004,-2.15,0.19,2020.0000,JPL14,1998-12-11,2023-03-22,479
485,CANT,43.080,0.009,-0.40,0.25,2020.0000,ULR7a,2000-03-11,2023-03-23,1325
485,CANT,43.082,0.006,-0.23,0.30,2020.0000,GT3,2000-03-11,2023-03-23,1325
485,CANT,43.058,0.004,-0.68,0.45,2020.0000,NGL14,2000-03-11,2023-03-23,1325
485,CANT,43.055,0.003,-0.74,0.57,2020.0000,JPL14,2000-03-11,2023-03-23,1325
488,TARI,34.689,0.007,2.09,1.05,2020.0000,NGL14,2010-05-15,2019-05-30,10
496,MALA,41.173,0.008,0.42,0.20,2020.0000,ULR7a,2000-03-29,2023-03-23,2459
